pair,trades,win_rate,mean_pnl,total_pnl,max_dd,sharpe,sharpe_active,sharpe_trade,variant,strategy_type
NZD/CAD,989,48.02831142568251,15.367522750252782,15198.480000000001,-5407.590000000006,0.7743706606610716,1.9990195170550766,3.6887038458409545,baseline,MOM
Oil/Silver,757,40.81902245706737,-8.580541611624836,-6495.470000000001,-29885.850000000006,-0.10538818924341518,-0.27960408123552644,-0.4681175298051447,baseline,MOM
SPX/CAC,531,47.45762711864407,59.82892655367232,31769.16,-12802.780000000002,0.8331829147269428,2.154420810345901,2.65154170029085,baseline,MOM
SPX/DAX,635,50.55118110236221,177.20941732283467,112527.98000000001,-9675.2,0.9401935851672997,2.488596216323621,2.6083621820707723,baseline,MOM
SPX/Dow,777,45.559845559845556,-13.882702702702703,-10786.86,-15860.71,-0.45310872854762,-1.200064625702048,-2.0549981583365406,baseline,MOM
SPX/FTSE,782,34.14322250639386,-31.014168797953968,-24253.08,-34619.43,-0.8620969077643671,-2.2377928123648423,-3.2648416330663523,baseline,MOM
SPX/HK,524,40.26717557251908,-19.01482824427481,-9963.77,-21581.379999999997,-0.2563316015572265,-0.6694625372125186,-0.8001034878158377,baseline,MOM
SPX/Nas,841,50.05945303210464,10.586706302021401,8903.419999999998,-14727.32,0.18009659668004824,0.48098873544648546,0.8556624756100238,baseline,MOM
SPX/Nikkei,801,47.815230961298376,15.322409488139826,12273.25,-17542.549999999996,0.2952903218821162,0.8019798583701777,1.3072936345914616,baseline,MOM
AUD/CAD,637,57.14285714285714,33.9089010989011,21599.97,-2358.280000000001,1.252327031341885,4.033847963155712,7.659644038692836,loss_streak_3_14d,MOM
AUD/NZD,664,61.897590361445786,43.46948795180723,28863.74,-1677.020000000004,1.2814902738203788,4.097149447832726,7.425637908069436,loss_streak_3_14d,MOM
CAC/NZD,423,55.319148936170215,90.9925059101655,38489.83000000001,-4183.010000000002,1.2688038706387594,3.684547002310069,4.345193689338653,loss_streak_3_14d,MOM
CHF/JPY,609,55.172413793103445,42.14279146141216,25664.960000000003,-3839.1400000000026,1.00906407295645,3.200693077189293,6.048563191655203,loss_streak_3_14d,MOM
EUR/AUD,626,57.34824281150159,48.013594249201276,30056.51,-3323.790000000008,1.0202344951382853,3.372411038434263,6.191365658679621,loss_streak_3_14d,MOM
EUR/CHF,640,57.8125,26.864078125000002,17193.010000000002,-2416.609999999995,0.87432176082657,2.786018965308279,5.232443330263969,loss_streak_3_14d,MOM
EUR/GBP,594,54.20875420875421,20.454511784511784,12149.98,-2932.7799999999997,0.7897483175337812,2.5163609939416354,3.9461670640930815,loss_streak_3_14d,MOM
EUR/JPY,648,51.54320987654321,43.4204475308642,28136.45,-3314.3799999999865,0.9386985599985488,3.0597767271501306,6.064829492926337,loss_streak_3_14d,MOM
GBP/AUD,656,57.62195121951219,38.02080792682927,24941.65,-3748.809999999999,1.0058945831615143,3.3371595194433845,6.292486469796132,loss_streak_3_14d,MOM
GBP/CAD,701,59.34379457917262,35.658017118402284,24996.27,-2142.120000000001,1.3989271673107502,4.476081783720245,8.469701492321839,loss_streak_3_14d,MOM
